masse_A;;;;;;
t;x;y;v_{x};v_{y};a_{x};a_{y}
2.38;0.42;-0.16;;;;
2.41;0.42;-0.16;0.03;-0.06;;
2.44;0.42;-0.16;0.00;0.00;-3.38;-2.96
2.48;0.42;-0.16;-0.17;-0.23;-0.48;-0.49
2.51;0.41;-0.18;-0.11;-0.14;5.32;3.71
2.54;0.42;-0.17;0.25;0.14;3.14;3.20
2.58;0.43;-0.17;0.14;0.03;-3.15;-2.22
2.61;0.43;-0.17;-0.06;-0.03;-2.43;-0.75
2.64;0.43;-0.17;0.03;0.00;1.21;0.50
2.67;0.43;-0.17;0.03;0.00;-0.23;-1.46
2.71;0.43;-0.17;0.00;-0.08;-2.41;-2.22
2.74;0.43;-0.18;-0.11;-0.17;1.37;1.45
2.77;0.42;-0.18;0.02;0.00;1.99;2.80
2.81;0.43;-0.18;0.13;0.08;0.70;0.51
2.84;0.43;-0.18;-0.01;-0.02;-2.33;-1.57
2.87;0.43;-0.18;0.00;-0.02;0.11;0.00
2.91;0.43;-0.18;0.00;-0.02;-0.15;-0.56
2.94;0.43;-0.18;-0.01;-0.05;-0.80;-0.17
2.97;0.43;-0.18;-0.05;-0.04;-0.30;0.77
3.00;0.42;-0.18;-0.04;0.01;0.55;0.82
3.04;0.42;-0.18;0.00;0.01;0.76;-0.12
3.07;0.42;-0.18;0.00;0.00;0.00;-0.25
3.10;0.42;-0.18;0.00;0.00;0.00;0.00
3.14;0.42;-0.18;0.00;0.00;0.00;0.00
3.17;0.42;-0.18;0.00;0.00;0.00;0.00
3.20;0.42;-0.18;0.00;0.00;-2.32;1.00
3.23;0.42;-0.18;-0.13;0.06;-0.67;3.33
3.27;0.42;-0.18;-0.10;0.22;1.91;0.92
3.30;0.42;-0.17;0.06;0.16;2.59;-2.67
3.33;0.42;-0.17;0.04;-0.01;-0.60;-3.98
3.37;0.42;-0.17;0.02;-0.07;-0.64;-0.39
3.40;0.42;-0.17;0.00;-0.06;-0.26;0.77
3.43;0.42;-0.17;0.00;0.00;-0.01;1.13
3.46;0.42;-0.17;0.00;0.03;0.00;0.39
3.53;0.42;-0.17;0.00;0.04;0.44;0.51
3.60;0.42;-0.17;0.04;0.07;0.56;0.29
3.63;0.42;-0.16;0.10;0.13;0.17;0.06
3.66;0.43;-0.16;0.05;0.07;-0.24;-0.41
3.73;0.43;-0.15;0.05;0.06;-0.40;-0.65
3.76;0.43;-0.15;0.04;0.04;-0.56;-0.41
3.79;0.43;-0.15;0.00;0.03;-0.26;0.25
3.83;0.43;-0.15;0.03;0.07;0.49;1.14
3.86;0.43;-0.15;0.04;0.10;0.38;0.13
3.89;0.43;-0.14;0.04;0.09;0.13;-0.50
3.93;0.44;-0.14;0.06;0.06;0.33;0.56
3.96;0.44;-0.14;0.04;0.08;0.32;0.53
4.06;0.44;-0.13;0.05;0.08;0.90;0.82
4.13;0.45;-0.12;0.15;0.16;0.20;0.07
4.19;0.46;-0.11;0.08;0.08;-0.21;-0.35
4.39;0.47;-0.10;0.04;0.03;-0.47;-0.81
4.42;0.47;-0.10;0.13;0.00;0.07;0.05
4.46;0.48;-0.10;0.19;0.10;-1.16;2.39
4.49;0.48;-0.10;0.07;0.19;-2.40;0.36
4.52;0.48;-0.09;-0.02;0.12;-0.37;-1.01
4.56;0.48;-0.09;0.07;0.10;4.16;0.42
4.59;0.49;-0.08;0.25;0.16;1.39;0.14
4.62;0.50;-0.08;0.22;0.12;-1.63;-1.28
4.65;0.50;-0.08;0.07;0.06;-1.38;-1.02
4.69;0.50;-0.07;0.15;0.06;1.76;0.78
4.72;0.51;-0.07;0.20;0.10;1.26;0.39
4.75;0.52;-0.07;0.22;0.10;0.13;0.13
4.79;0.53;-0.06;0.22;0.09;-1.90;0.74
4.82;0.53;-0.06;0.10;0.16;-2.41;1.37
4.85;0.53;-0.05;0.03;0.19;1.52;-0.36
4.89;0.53;-0.05;0.20;0.13;1.78;-0.06
4.92;0.55;-0.04;0.17;0.11;0.65;0.09
4.98;0.55;-0.04;0.14;0.12;0.08;0.00
5.02;0.56;-0.03;0.29;0.13;-0.32;-0.73
5.05;0.57;-0.03;0.20;0.12;-2.78;-0.28
5.08;0.57;-0.03;0.07;0.10;-0.13;-0.13
5.12;0.58;-0.02;0.19;0.12;1.89;0.02
5.15;0.59;-0.02;0.25;0.10;0.13;0.13
5.18;0.59;-0.01;0.16;0.12;-1.64;0.24
5.22;0.60;-0.01;0.14;0.13;0.25;-0.12
5.25;0.60;-0.01;0.17;0.10;0.00;-0.38
5.28;0.61;0.00;0.16;0.10;3.17;-1.11
5.31;0.61;0.00;0.34;0.05;2.15;0.15
5.35;0.63;0.00;0.39;0.08;-1.65;0.87
5.38;0.64;0.01;0.16;0.15;-3.17;1.23
5.41;0.64;0.01;0.17;0.13;1.27;-0.37
5.45;0.65;0.01;0.28;0.13;0.89;-0.12
5.48;0.66;0.02;0.23;0.12;1.32;0.30
5.51;0.66;0.02;0.32;0.15;0.61;-0.17
5.55;0.68;0.03;0.34;0.13;0.05;-0.37
5.58;0.69;0.03;0.26;0.10;-2.11;-0.86
5.61;0.70;0.04;0.24;0.09;0.86;0.80
5.64;0.70;0.04;0.28;0.13;0.29;0.22
5.68;0.72;0.04;0.31;0.14;0.15;-0.50
5.71;0.72;0.05;0.25;0.07;-0.49;-1.16
5.74;0.73;0.05;0.29;0.07;0.36;0.00
5.78;0.74;0.05;0.29;0.08;0.65;0.22
5.81;0.75;0.05;0.32;0.08;0.00;-0.22
5.84;0.76;0.06;0.31;0.07;-0.72;-0.30
5.87;0.77;0.06;0.25;0.05;-0.71;-0.29
5.91;0.78;0.06;0.26;0.05;1.42;-0.55
5.94;0.79;0.06;0.34;0.02;-0.42;-0.29
5.97;0.80;0.06;0.26;0.02;-1.00;0.42
6.01;0.81;0.06;0.22;0.06;0.65;-0.50
6.04;0.82;0.06;0.35;0.00;1.75;-1.78
6.07;0.83;0.06;0.34;-0.08;-1.50;-0.73
6.10;0.84;0.06;0.24;-0.05;3.23;1.18
6.14;0.84;0.06;0.49;0.00;1.47;-0.40
6.17;0.87;0.06;0.26;-0.04;-0.18;-0.46
6.30;0.89;0.05;0.15;-0.06;-2.13;-0.53
6.34;0.90;0.05;0.21;-0.15;0.14;-0.07
6.37;0.90;0.04;0.39;-0.21;0.47;-0.37
6.40;0.92;0.04;0.19;-0.09;-0.54;0.49
6.50;0.93;0.03;0.10;-0.08;-1.78;0.33
6.53;0.94;0.03;0.17;-0.11;0.10;-0.25
6.57;0.94;0.02;0.18;-0.19;0.06;-0.16
6.60;0.95;0.01;0.11;-0.08;-0.54;0.53
6.70;0.95;0.01;0.05;-0.04;-1.49;0.65
6.73;0.95;0.01;-0.02;-0.08;-0.76;-0.01
6.77;0.95;0.01;-0.02;-0.08;0.13;0.71
6.80;0.95;0.00;0.00;-0.03;0.56;0.29
6.83;0.95;0.00;0.02;-0.05;0.28;0.00
6.86;0.95;0.00;0.03;-0.06;-0.22;0.50
6.90;0.95;0.00;0.00;0.00;-0.74;2.01
6.93;0.95;0.00;-0.03;0.07;-0.07;-0.14
6.96;0.95;0.00;-0.01;0.02;0.52;-1.72
7.00;0.95;0.00;0.02;-0.08;0.15;-0.71
7.03;0.95;0.00;0.00;-0.02;-1.16;2.33
7.06;0.95;0.00;-0.06;0.08;-0.65;1.55
7.09;0.95;0.00;-0.06;0.09;0.49;0.50
7.13;0.95;0.01;-0.01;0.09;0.47;-0.15
7.16;0.95;0.01;0.00;0.04;0.11;0.25
7.26;0.95;0.01;0.01;0.05;0.00;0.18
7.33;0.95;0.02;0.00;0.10;-0.30;-0.12
7.36;0.95;0.02;-0.04;0.08;-0.03;-1.27
7.39;0.95;0.02;-0.02;0.02;1.13;0.01
7.43;0.95;0.02;0.06;0.07;-0.64;0.06
7.46;0.95;0.03;-0.05;0.06;-2.55;-0.38
7.49;0.95;0.03;-0.15;0.01;1.28;-0.63
7.52;0.94;0.03;0.03;0.04;2.12;0.52
7.56;0.95;0.03;0.06;0.03;-0.21;-0.29
7.59;0.95;0.03;-0.05;0.02;-1.84;0.05
7.62;0.94;0.03;-0.03;0.03;0.00;0.14
7.66;0.94;0.03;-0.06;0.04;-2.51;-0.82
7.69;0.94;0.03;-0.18;-0.02;-0.29;0.14
7.72;0.93;0.03;-0.13;0.02;8.06;0.58
7.75;0.93;0.04;0.36;0.06;3.49;0.08
7.79;0.95;0.04;0.23;0.00;-2.08;-0.66
7.85;0.95;0.04;0.00;0.00;-3.81;-0.04
7.89;0.95;0.04;0.00;0.00;0.00;0.00
7.92;0.95;0.04;0.00;0.00;0.00;0.00
7.95;0.95;0.04;0.00;0.00;0.00;0.00
7.99;0.95;0.04;0.00;0.00;0.00;0.00
8.02;0.95;0.04;0.00;0.00;0.00;0.00
8.05;0.95;0.04;0.00;0.00;0.00;0.00
8.08;0.95;0.04;0.00;0.00;0.00;0.00
8.12;0.95;0.04;0.00;0.00;0.00;0.00
8.15;0.95;0.04;0.00;0.00;0.00;0.00
8.18;0.95;0.04;0.00;0.00;0.00;0.00
8.22;0.95;0.04;0.00;0.00;0.00;0.00
8.25;0.95;0.04;0.00;0.00;0.00;0.00
8.28;0.95;0.04;0.00;0.00;0.00;0.00
8.32;0.95;0.04;0.00;0.00;-0.29;0.42
8.35;0.95;0.04;-0.02;0.02;-0.14;0.21
8.38;0.95;0.04;-0.02;0.02;0.14;-0.21
8.41;0.95;0.04;0.00;0.00;0.29;-0.43
8.45;0.95;0.04;0.00;0.00;0.00;0.00
8.48;0.95;0.04;0.00;0.00;0.00;0.00
8.51;0.95;0.04;0.00;0.00;0.00;0.00
8.55;0.95;0.04;0.00;0.00;-1.28;0.27
8.58;0.95;0.04;-0.07;0.02;-1.08;1.55
8.61;0.95;0.04;-0.10;0.10;1.56;0.16
8.64;0.95;0.04;0.04;0.06;2.07;-1.19
8.68;0.95;0.04;0.07;-0.02;-0.13;-1.21
8.71;0.95;0.04;0.00;0.00;-1.14;0.41
8.74;0.95;0.04;0.00;0.00;0.00;0.00
8.78;0.95;0.04;0.00;0.00;0.00;0.00
8.81;0.95;0.04;0.00;0.00;-1.71;0.69
8.84;0.95;0.04;-0.10;0.04;-2.14;1.47
8.88;0.94;0.04;-0.17;0.10;2.06;-0.19
8.91;0.94;0.05;0.03;0.04;2.14;-1.04
8.94;0.95;0.05;0.04;0.00;-0.77;-0.86
8.97;0.94;0.05;-0.10;0.02;-2.27;0.34
9.01;0.94;0.05;-0.10;0.01;1.08;0.56
9.07;0.93;0.05;-0.03;0.05;0.85;0.83
9.11;0.94;0.05;0.02;0.11;0.78;-0.40
9.14;0.93;0.06;-0.03;0.04;-1.69;-1.22
9.17;0.94;0.06;-0.04;0.01;-0.21;-0.21
9.21;0.93;0.06;-0.08;0.04;-0.18;0.13
9.24;0.93;0.06;-0.03;0.02;0.77;-0.13
9.30;0.93;0.06;-0.01;0.01;0.22;0.00
9.34;0.93;0.06;0.00;0.02;0.06;0.00
9.40;0.93;0.06;-0.01;0.01;-0.59;-0.01
9.44;0.93;0.06;-0.05;0.02;-0.18;0.13
9.47;0.93;0.06;-0.05;0.04;0.28;0.78
9.50;0.93;0.06;-0.01;0.07;0.35;0.29
9.54;0.93;0.07;-0.03;0.07;-1.27;-0.23
9.57;0.92;0.07;-0.09;0.04;-1.20;-0.79
9.60;0.92;0.07;-0.12;0.02;1.06;0.08
9.63;0.92;0.07;-0.02;0.04;1.49;-0.20
9.67;0.92;0.07;0.01;0.02;0.50;-0.49
9.70;0.92;0.07;-0.02;-0.01;-0.64;-0.22
9.73;0.92;0.07;-0.02;0.02;-0.01;0.57
9.77;0.91;0.07;-0.03;0.03;-0.71;0.13
9.80;0.91;0.07;-0.06;0.02;-0.49;-0.36
9.83;0.91;0.07;-0.07;0.01;0.36;-0.35
9.87;0.91;0.07;-0.03;0.00;1.13;0.01
9.90;0.91;0.07;0.01;0.01;3.19;-0.32
9.93;0.91;0.08;0.16;-0.01;-0.79;0.84
9.96;0.92;0.07;0.03;0.04;-3.42;1.31
10.00;0.91;0.08;-0.17;0.10;-2.34;0.19
10.03;0.91;0.08;-0.07;0.04;2.35;-1.47
10.06;0.91;0.08;-0.02;0.00;-1.13;-0.86
10.10;0.91;0.08;-0.13;-0.01;0.27;0.05
10.13;0.90;0.08;-0.04;0.00;0.86;0.37
10.20;0.90;0.08;0.03;0.02;0.63;0.28
10.23;0.90;0.08;-0.05;0.03;-0.91;-0.10
10.26;0.90;0.08;-0.03;0.02;0.14;-0.28
10.29;0.90;0.08;-0.03;0.02;0.27;0.18
10.33;0.90;0.08;-0.01;0.02;0.54;0.10
10.39;0.90;0.09;0.02;0.02;0.18;-0.09
10.43;0.90;0.09;0.01;0.02;-0.50;-0.10
10.46;0.90;0.09;-0.03;0.02;-0.71;0.06
10.49;0.90;0.09;-0.03;0.02;0.29;-0.21
10.53;0.90;0.09;-0.02;0.01;0.00;-0.05
10.56;0.90;0.09;-0.02;0.01;-0.23;0.00
10.62;0.89;0.09;-0.03;0.01;0.09;-0.18
10.66;0.89;0.09;-0.02;-0.01;0.46;-0.22
10.69;0.89;0.09;0.01;-0.01;0.35;0.07
10.72;0.89;0.09;0.00;0.00;-0.14;0.14
10.76;0.89;0.09;0.00;0.00;-0.57;0.42
10.79;0.89;0.09;-0.03;0.02;-0.29;0.21
10.82;0.89;0.09;-0.03;0.02;1.70;-0.05
10.86;0.89;0.09;0.08;0.01;0.14;-0.07
10.89;0.90;0.09;0.02;0.02;-1.85;0.34
10.92;0.89;0.09;-0.10;0.03;-1.13;-0.15
10.95;0.89;0.09;-0.03;0.02;0.71;0.15
10.99;0.89;0.09;-0.04;0.03;0.22;-0.28
11.02;0.89;0.10;-0.04;0.02;0.22;-0.28
11.05;0.89;0.09;-0.01;-0.01;0.64;-0.35
11.09;0.89;0.09;-0.01;0.01;0.07;0.21
11.12;0.89;0.09;0.00;0.00;-0.71;0.42
11.15;0.89;0.09;-0.05;0.03;-0.85;0.28
11.19;0.88;0.10;-0.07;0.03;0.22;-0.28
11.22;0.88;0.10;-0.02;0.00;0.35;0.00
11.25;0.88;0.10;-0.04;0.03;-0.07;0.14
11.28;0.88;0.10;-0.05;0.02;0.00;-0.21
11.32;0.88;0.10;-0.02;0.00;0.50;-0.42
11.35;0.88;0.10;-0.02;0.01;0.21;0.50
11.38;0.88;0.10;-0.01;0.02;0.35;0.07
11.42;0.88;0.10;0.00;0.02;0.14;-0.21
11.45;0.88;0.10;0.00;0.00;0.00;-0.43
11.48;0.88;0.10;0.00;0.00;0.00;0.14
11.52;0.88;0.10;0.00;0.01;-1.28;0.34
11.55;0.88;0.10;-0.07;0.02;-0.78;0.06
11.58;0.87;0.10;-0.08;0.02;0.57;-0.28
11.61;0.87;0.10;-0.01;0.00;1.35;-0.27
11.65;0.87;0.10;0.00;0.00;0.14;0.00
11.68;0.87;0.10;0.00;0.00;0.00;0.00
11.71;0.87;0.10;0.00;0.00;-0.56;-0.71
11.75;0.87;0.10;-0.03;-0.04;0.65;-1.22
11.78;0.87;0.10;0.03;-0.09;0.26;-0.50
11.85;0.87;0.09;0.03;-0.06;0.09;0.02
11.95;0.87;0.09;0.01;-0.06;-0.23;0.36
11.98;0.88;0.09;0.04;-0.08;-0.22;-0.19
12.01;0.88;0.08;-0.02;-0.13;-0.54;-0.19
12.04;0.87;0.08;-0.02;-0.09;-0.37;0.68
12.11;0.87;0.07;-0.03;0.01;0.27;0.49
12.21;0.87;0.08;0.01;0.02;0.11;-0.07
12.31;0.88;0.08;0.02;-0.01;0.02;-0.30
12.34;0.87;0.08;-0.04;-0.02;-0.35;-0.07
12.38;0.87;0.08;0.00;-0.02;0.55;-0.95
12.44;0.87;0.08;0.01;-0.08;0.05;-0.77
12.47;0.87;0.07;0.01;-0.13;-0.05;0.63
12.51;0.87;0.07;0.00;-0.03;-0.16;1.98
12.54;0.87;0.07;0.00;0.00;-0.01;0.57
12.57;0.87;0.07;0.00;0.00;0.00;0.00
12.61;0.87;0.07;0.00;0.00;0.00;0.00
12.64;0.87;0.07;0.00;0.00;0.00;0.00
12.67;0.87;0.07;0.00;0.00;0.00;0.00
12.71;0.87;0.07;0.00;0.00;-0.14;0.00
12.74;0.87;0.07;-0.01;0.00;-0.92;-0.01
12.77;0.87;0.07;-0.06;0.00;-0.35;0.00
12.80;0.87;0.07;-0.05;0.00;0.57;0.01
12.84;0.87;0.07;0.00;0.00;0.85;0.01
12.87;0.87;0.07;0.00;0.00;0.00;0.00
12.90;0.87;0.07;0.00;0.00;-0.42;-0.43
12.94;0.87;0.07;-0.02;-0.02;-0.62;-1.50
12.97;0.87;0.07;-0.05;-0.10;-0.14;-0.57
13.00;0.87;0.06;-0.03;-0.08;1.26;1.57
13.04;0.87;0.06;0.03;0.02;0.13;1.63
13.07;0.87;0.06;0.00;0.03;-2.12;-0.73
13.10;0.87;0.06;-0.13;-0.03;-0.98;-1.29
13.13;0.86;0.06;-0.08;-0.06;0.57;-0.07
13.17;0.86;0.06;-0.05;-0.03;0.28;0.43
13.20;0.86;0.06;-0.10;-0.03;-0.15;0.35
13.23;0.85;0.06;-0.05;-0.02;0.85;0.58
13.27;0.85;0.06;-0.03;0.02;0.00;0.43
13.30;0.85;0.06;-0.06;0.02;-0.90;-0.38
13.33;0.85;0.06;-0.08;-0.02;-0.46;-0.35
13.43;0.84;0.05;-0.08;-0.03;0.25;-0.43
13.47;0.84;0.05;-0.08;-0.08;0.37;0.07
13.50;0.84;0.05;-0.11;-0.07;-0.30;1.20
13.53;0.83;0.05;-0.11;0.02;0.13;1.35
13.56;0.83;0.05;-0.09;0.02;0.36;-0.28
13.60;0.83;0.05;-0.10;-0.01;-0.14;-0.36
13.63;0.82;0.05;-0.10;0.00;0.28;0.14
13.66;0.82;0.05;-0.08;0.00;0.01;-1.01
13.70;0.82;0.05;-0.09;-0.06;-2.23;-0.24
13.73;0.81;0.05;-0.22;-0.04;-1.81;0.63
13.76;0.80;0.05;-0.25;0.01;0.43;0.58
13.79;0.80;0.05;-0.16;-0.02;2.20;0.02
13.83;0.79;0.05;-0.11;0.01;0.28;0.07
13.86;0.79;0.05;-0.12;0.01;-0.21;-0.21
13.89;0.78;0.05;-0.15;-0.03;-0.56;-0.50
13.93;0.78;0.05;-0.15;-0.02;0.57;0.01
13.96;0.77;0.05;-0.12;-0.03;0.78;0.08
13.99;0.77;0.04;-0.08;-0.02;0.28;0.57
14.03;0.77;0.04;-0.11;0.02;-1.35;0.13
14.06;0.76;0.05;-0.17;0.00;-1.77;-0.58
14.09;0.76;0.04;-0.23;-0.04;-1.56;-0.16
